target_column,feature_set,model,selected_threshold,f1_threshold,f1_at_f1_threshold,youden_threshold,youden_at_youden_threshold,balanced_threshold,balanced_score,best_params,best_valid_roc_auc
heart_related_event_by_2015,primary,lightgbm,0.5937168930234826,0.5937168930234826,0.13721413721413722,0.5937168930234826,0.21196021348859784,0.5937168930234826,0.34917435070273506,"{'n_estimators': 142, 'num_leaves': 22, 'max_depth': 2, 'learning_rate': 0.09349986707454126, 'min_child_samples': 60, 'subsample': 0.9434977713519959, 'colsample_bytree': 0.7497319510900466, 'scale_pos_weight': 28.397461843672048}",0.6314963070785486
heart_related_event_by_2015,primary,catboost,0.3166295500316726,0.6374356993377466,0.135678391959799,0.3166295500316726,0.23056768558951957,0.3166295500316726,0.34756768558951956,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6381961291713839
heart_related_event_by_2015,no_body_size_demographic,logistic_regression,0.5484675800928325,0.5484675800928325,0.13979706877113868,0.4701337491908936,0.2086770176289825,0.5484675800928325,0.3479646249736294,{'C': 0.03967694542223149},0.6312954876273653
heart_related_event_by_2015,no_body_size_demographic,random_forest,0.4483010479228417,0.5786810405780295,0.13908872901678657,0.4483010479228417,0.2002749474365193,0.4483010479228417,0.3193848950804984,"{'n_estimators': 253, 'max_depth': 4, 'min_samples_leaf': 2}",0.6227209013963017
heart_related_event_by_2015,no_body_size_demographic,xgboost,0.4344823360443115,0.6779537796974182,0.12903225806451613,0.4344823360443115,0.1951156396571243,0.4344823360443115,0.30744168339469885,"{'n_estimators': 148, 'max_depth': 2, 'learning_rate': 0.02797911365070284, 'subsample': 0.672099077547787, 'colsample_bytree': 0.6677133328811644, 'reg_lambda': 3.124376301798936, 'scale_pos_weight': 29.734006136617175}",0.6285500566068252
heart_related_event_by_2015,no_body_size_demographic,lightgbm,0.37436218211310995,0.37436218211310995,0.1260583254938852,0.2836656424427241,0.19454957140546658,0.37436218211310995,0.30903584449760513,"{'n_estimators': 131, 'num_leaves': 14, 'max_depth': 2, 'learning_rate': 0.022147077652063186, 'min_child_samples': 60, 'subsample': 0.9849937491166506, 'colsample_bytree': 0.7977656243528263, 'scale_pos_weight': 12.27517485695694}",0.6180306215968516
heart_related_event_by_2015,no_body_size_demographic,catboost,0.4840902757414842,0.6118610153610587,0.1284796573875803,0.4075668637828368,0.18678634966844587,0.4840902757414842,0.30468440695664356,"{'iterations': 352, 'depth': 4, 'learning_rate': 0.024585043930610614, 'l2_leaf_reg': 4.6061245224589795}",0.6266456412744622
heart_related_event_by_2015,literature_fi_minimal,logistic_regression,0.46986713518731943,0.5566659575433838,0.12054120541205413,0.46986713518731943,0.15726184699983836,0.46986713518731943,0.2700541441112551,{'C': 0.03967694542223149},0.6005215914604561
heart_related_event_by_2015,literature_fi_minimal,random_forest,0.4935814880047777,0.4935814880047777,0.12199312714776632,0.4935814880047777,0.17730874979783273,0.4935814880047777,0.29930187694559907,"{'n_estimators': 253, 'max_depth': 4, 'min_samples_leaf': 2}",0.6072065879562241
heart_related_event_by_2015,literature_fi_minimal,xgboost,0.4538637697696686,0.551480233669281,0.13043478260869565,0.3714137375354767,0.16057738961669088,0.4538637697696686,0.27218063074615206,"{'n_estimators': 135, 'max_depth': 2, 'learning_rate': 0.05405168976824286, 'subsample': 0.9234300275727488, 'colsample_bytree': 0.8493304284349246, 'reg_lambda': 0.42255958396806576, 'scale_pos_weight': 17.250836933363114}",0.6116070947220875
