ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad1,INDV_weight_ad2,Biomarker_weight,versionID
330131119001,3301311190,3301311,19811.310546875,21278.814453125,19811.310546875,21278.814453125,21628.88671875,22039.7109375,20170531
330131119002,3301311190,3301311,19811.310546875,21278.814453125,19811.310546875,21278.814453125,21478.634765625,21813.095703125,20170531
330131123002,3301311230,3301311,19811.310546875,21278.814453125,19811.310546875,21278.814453125,21605.232421875,22499.259765625,20170531
330131123001,3301311230,3301311,19811.310546875,21278.814453125,19811.310546875,21278.814453125,21467.00390625,22149.970703125,20170531
330131213002,3301312130,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38782.03125,42836.0234375,20170531
330131213001,3301312130,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38519.625,40645.69921875,20170531
330131210002,3301312100,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38846.72265625,40737.96484375,20170531
330131210001,3301312100,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38564.61328125,41055.59375,20170531
330131218002,3301312180,3301312,32441.5703125,38166.55078125,64883.140625,76333.1015625,76984.9921875,83686.21875,20170531
330131218003,3301312180,3301312,32441.5703125,38166.55078125,64883.140625,76333.1015625,77492.4140625,88858.3828125,20170531
330131219001,3301312190,3301312,32441.5703125,38166.55078125,48662.35546875,57249.82421875,58141.30859375,64218.9765625,20170531
330131219002,3301312190,3301312,32441.5703125,38166.55078125,48662.35546875,57249.82421875,57761.2265625,,20170531
330131209001,3301312090,3301312,32441.5703125,38166.55078125,48662.35546875,57249.82421875,57768.953125,61021.3828125,20170531
330131209002,3301312090,3301312,32441.5703125,38166.55078125,48662.35546875,57249.82421875,58159.3046875,63401.6015625,20170531
330131208001,3301312080,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38552.85546875,41043.07421875,20170531
330131204002,3301312040,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38829.94140625,40758.25,20170531
330131204001,3301312040,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38550.92578125,40896.92578125,20170531
330131201002,3301312010,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38788.21484375,40803.98828125,20170531
330131201001,3301312010,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38519.625,41034.671875,20170531
330131214001,3301312140,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38534.0234375,40547.87890625,20170531
330131203002,3301312030,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38754.96484375,42248.21484375,20170531
330131203001,3301312030,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38509.1953125,41861.26171875,20170531
330131202002,3301312020,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38794.45703125,40810.5546875,20170531
330131202001,3301312020,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38524.95703125,,20170531
330131212002,3301312120,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38826.6328125,40716.89453125,20170531
330131212001,3301312120,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38549.015625,41038.98828125,20170531
330131206001,3301312060,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38800.76171875,40777.5703125,20170531
330131206002,3301312060,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38532.1953125,40545.953125,20170531
330131211002,3301312110,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38775.91015625,42829.26171875,20170531
330131211001,3301312110,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38514.37109375,40682.75390625,20170531
330131205001,3301312050,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38794.45703125,42433.125,20170531
330131205002,3301312050,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38509.1953125,40765.24609375,20170531
330131215001,3301312150,3301312,32441.5703125,38166.55078125,32441.5703125,38166.55078125,38810.34375,40787.640625,20170531
330131207001,3301312070,3301312,16220.78515625,19083.275390625,16220.78515625,19083.275390625,19391.015625,21138.861328125,20170531
330404119002,3304041190,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41605.734375,102486.890625,20170531
330404119001,3304041190,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41259.98828125,80579.3828125,20170531
330404102002,3304041020,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41647.5703125,82745.625,20170531
330404102001,3304041020,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41286.5859375,66734.484375,20170531
330404120001,3304041200,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41630.5859375,,20170531
330404120002,3304041200,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41276.74609375,66218.7421875,20170531
330404118002,3304041180,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41687.0546875,,20170531
330404118001,3304041180,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41314.69140625,,20170531
330404101002,3304041010,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41714.37890625,,20170531
330404101001,3304041010,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41325.296875,,20170531
330404107002,3304041070,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41669.28515625,69163.2265625,20170531
330404107001,3304041070,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41299.171875,64928.6640625,20170531
330404116001,3304041160,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41687.0546875,64938.7578125,20170531
330404116002,3304041160,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41259.98828125,,20170531
330404108002,3304041080,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41333.390625,,20170531
330404126002,3304041260,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41597.61328125,,20170531
330404126001,3304041260,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41257.640625,,20170531
330404106002,3304041060,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41274.3125,66214.8359375,20170531
330404106001,3304041060,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41622.21875,,20170531
330404105002,3304041050,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41647.5703125,,20170531
330404105001,3304041050,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41294.09765625,66246.578125,20170531
330404117001,3304041170,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41319.96875,62532.546875,20170531
330404125002,3304041250,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41630.5859375,89273.046875,20170531
330404125001,3304041250,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41279.1875,70786.1328125,20170531
330404124002,3304041240,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41609.82421875,,20170531
330404124001,3304041240,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41264.71484375,,20170531
330404127001,3304041270,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41673.6953125,,20170531
330404127002,3304041270,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41291.58203125,74263.0234375,20170531
330404110002,3304041100,3304041,22794.005859375,40789.2734375,34191.0078125,61183.91015625,61911.46875,,20170531
330404110001,3304041100,3304041,22794.005859375,40789.2734375,34191.0078125,61183.91015625,62445.87890625,133909.578125,20170531
330404122002,3304041220,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41264.71484375,80588.6171875,20170531
330404122001,3304041220,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41589.57421875,102447.0859375,20170531
330404109001,3304041090,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41279.1875,80616.875,20170531
330404109002,3304041090,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41630.5859375,82711.8828125,20170531
330404103001,3304041030,3304041,22794.005859375,40789.2734375,22794.005859375,40789.2734375,41358.42578125,,20170531
330404204002,3304042040,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57790.35546875,,20170531
330404204001,3304042040,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57292.43359375,,20170531
330404206001,3304042060,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57289.08984375,141119.5,20170531
330404206002,3304042060,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57755.85546875,,20170531
330404202002,3304042020,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57913.109375,111569.4375,20170531
330404202001,3304042020,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57370.29296875,,20170531
330404212002,3304042120,3304042,36238.37890625,56622.46875,54357.56640625,84933.703125,86766.1171875,,20170531
330404212001,3304042120,3304042,36238.37890625,56622.46875,54357.56640625,84933.703125,85995.4375,,20170531
330404208001,3304042080,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57831.92578125,142456.671875,20170531
330404208002,3304042080,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57326.76171875,117541.8359375,20170531
330404205001,3304042050,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57323.25390625,117534.640625,20170531
330404205002,3304042050,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57819.8984375,,20170531
330404209002,3304042090,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57309.3828125,,20170531
330404201002,3304042010,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57856.34765625,115075.8203125,20170531
330404201001,3304042010,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57337.40234375,,20170531
330404203001,3304042030,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57862.53125,,20170531
330404207001,3304042070,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57844.078125,124188.125,20170531
330404207002,3304042070,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57330.29296875,114349.2421875,20170531
330404215001,3304042150,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57825.8984375,142441.8125,20170531
330404215002,3304042150,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57316.28125,128534.8359375,20170531
330404221002,3304042210,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57333.8359375,,20170531
330404221001,3304042210,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57850.19921875,,20170531
330404214001,3304042140,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57333.8359375,,20170531
330404214002,3304042140,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57850.19921875,,20170531
330404219002,3304042190,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57778.73828125,142325.65625,20170531
330404219001,3304042190,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57289.08984375,141119.5,20170531
330404216001,3304042160,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57813.9296875,,20170531
330404213002,3304042130,3304042,36238.37890625,56622.46875,36238.37890625,56622.46875,57761.53125,,20170531
330404339001,3304043390,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15101.400390625,,20170531
330404339002,3304043390,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15007.0380859375,27326.666015625,20170531
330404303001,3304043030,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15010.3671875,,20170531
330404347001,3304043470,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15102.5322265625,,20170531
330404347002,3304043470,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15007.0380859375,27084.6328125,20170531
330404307001,3304043070,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15108.27734375,30002.62890625,20170531
330404307002,3304043070,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15009.6953125,22822.78125,20170531
330404316002,3304043160,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15117.7734375,23710.5546875,20170531
330404316001,3304043160,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15015.1689453125,23311.166015625,20170531
330404326002,3304043260,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15121.431640625,22532.6328125,20170531
330404326001,3304043260,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15016.5712890625,21657.50390625,20170531
330404342002,3304043420,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15099.15625,36403.6484375,20170531
330404342001,3304043420,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15005.0810546875,27323.1015625,20170531
330404301002,3304043010,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15128.9189453125,22844.6015625,20170531
330404301001,3304043010,3304043,12873.01171875,14875.4794921875,12873.01171875,14875.4794921875,15020.1416015625,21278.271484375,20170531
