communityID,province,province_eng,city,city_eng,urban_nbs,areatype,versionID
0586593,ËÄ´¨Ê¡,Sichuan,Ã¼É½ÊÐ,Meishan,0,220,20151118
0604401,ºÓ±±Ê¡,Hebei,±£¶¨ÊÐ,Baoding,0,220,20151118
0604402,ºÓ±±Ê¡,Hebei,±£¶¨ÊÐ,Baoding,0,220,20151118
0604403,ºÓ±±Ê¡,Hebei,±£¶¨ÊÐ,Baoding,0,220,20151118
0604811,ºÓ±±Ê¡,Hebei,±£¶¨ÊÐ,Baoding,0,220,20151118
0604812,ºÓ±±Ê¡,Hebei,±£¶¨ÊÐ,Baoding,0,220,20151118
0604813,ºÓ±±Ê¡,Hebei,±£¶¨ÊÐ,Baoding,0,220,20151118
0640281,ºÓ±±Ê¡,Hebei,Ê¯¼Ò×¯ÊÐ,Shijiazhuang,1,111,20151118
0640282,ºÓ±±Ê¡,Hebei,Ê¯¼Ò×¯ÊÐ,Shijiazhuang,1,111,20151118
0640283,ºÓ±±Ê¡,Hebei,Ê¯¼Ò×¯ÊÐ,Shijiazhuang,1,111,20151118
0640331,ºÓ±±Ê¡,Hebei,Ê¯¼Ò×¯ÊÐ,Shijiazhuang,0,220,20151118
0640332,ºÓ±±Ê¡,Hebei,Ê¯¼Ò×¯ÊÐ,Shijiazhuang,0,220,20151118
0640333,ºÓ±±Ê¡,Hebei,Ê¯¼Ò×¯ÊÐ,Shijiazhuang,0,220,20151118
0646041,ºÓ±±Ê¡,Hebei,²×ÖÝÊÐ,Cangzhou,1,111,20151118
0646042,ºÓ±±Ê¡,Hebei,²×ÖÝÊÐ,Cangzhou,1,111,20151118
0646043,ºÓ±±Ê¡,Hebei,²×ÖÝÊÐ,Cangzhou,1,111,20151118
0655461,ºÓ±±Ê¡,Hebei,³ÐµÂÊÐ,Chengde,0,220,20151118
0655462,ºÓ±±Ê¡,Hebei,³ÐµÂÊÐ,Chengde,0,220,20151118
0655463,ºÓ±±Ê¡,Hebei,³ÐµÂÊÐ,Chengde,0,220,20151118
0724281,½­Î÷Ê¡,Jiangxi,¾°µÂÕòÊÐ,Jingdezhen,1,111,20151118
0724282,½­Î÷Ê¡,Jiangxi,¾°µÂÕòÊÐ,Jingdezhen,1,111,20151118
0724283,½­Î÷Ê¡,Jiangxi,¾°µÂÕòÊÐ,Jingdezhen,1,111,20151118
0740021,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,0,220,20151118
0740022,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,0,220,20151118
0740023,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,0,220,20151118
0740041,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,1,111,20151118
0740042,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,1,111,20151118
0740043,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,1,111,20151118
0740571,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,1,111,20151118
0740572,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,1,111,20151118
0740573,½­Î÷Ê¡,Jiangxi,ÄÏ²ýÊÐ,Nanchang,1,111,20151118
0746311,½­Î÷Ê¡,Jiangxi,ÒË´ºÊÐ,Yichun,0,220,20151118
0746312,½­Î÷Ê¡,Jiangxi,ÒË´ºÊÐ,Yichun,0,220,20151118
0746313,½­Î÷Ê¡,Jiangxi,ÒË´ºÊÐ,Yichun,0,220,20151118
0749811,½­Î÷Ê¡,Jiangxi,ÉÏÈÄÊÐ,Shangrao,1,122,20151118
0749812,½­Î÷Ê¡,Jiangxi,ÉÏÈÄÊÐ,Shangrao,1,122,20151118
0749813,½­Î÷Ê¡,Jiangxi,ÉÏÈÄÊÐ,Shangrao,0,220,20151118
0753761,½­Î÷Ê¡,Jiangxi,¾Å½­ÊÐ,Jiujiang,0,210,20151118
0753762,½­Î÷Ê¡,Jiangxi,¾Å½­ÊÐ,Jiujiang,1,121,20151118
0753763,½­Î÷Ê¡,Jiangxi,¾Å½­ÊÐ,Jiujiang,1,121,20151118
0755041,½­Î÷Ê¡,Jiangxi,¼ª°²ÊÐ,Jian,1,111,20151118
0755042,½­Î÷Ê¡,Jiangxi,¼ª°²ÊÐ,Jian,1,111,20151118
0755043,½­Î÷Ê¡,Jiangxi,¼ª°²ÊÐ,Jian,1,111,20151118
0782331,½­Î÷Ê¡,Jiangxi,¸ÓÖÝÊÐ,Ganzhou,0,220,20151118
0782332,½­Î÷Ê¡,Jiangxi,¸ÓÖÝÊÐ,Ganzhou,0,220,20151118
0782333,½­Î÷Ê¡,Jiangxi,¸ÓÖÝÊÐ,Ganzhou,1,122,20151118
0896761,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,Xinjiang,°¢¿ËËÕµØÇø,Akesu,0,220,20151118
0896762,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,Xinjiang,°¢¿ËËÕµØÇø,Akesu,1,121,20151118
0896763,ÐÂ½®Î¬Îá¶û×ÔÖÎÇø,Xinjiang,°¢¿ËËÕµØÇø,Akesu,1,121,20151118
0940041,±±¾©,Beijing,±±¾©,Beijing,1,111,20151118
0940042,±±¾©,Beijing,±±¾©,Beijing,1,111,20151118
0940043,±±¾©,Beijing,±±¾©,Beijing,1,111,20151118
1017911,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ÎýÁÖ¹ùÀÕÃË,Xilingol,0,220,20151118
1017912,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ÎýÁÖ¹ùÀÕÃË,Xilingol,1,121,20151118
1017913,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ÎýÁÖ¹ùÀÕÃË,Xilingol,0,220,20151118
1040041,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôºÍºÆÌØÊÐ,Hohhot,1,111,20151118
1040042,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôºÍºÆÌØÊÐ,Hohhot,1,111,20151118
1040043,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôºÍºÆÌØÊÐ,Hohhot,1,111,20151118
1051021,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ÐË°²ÃË,Hinggan,1,121,20151118
1051022,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ÐË°²ÃË,Hinggan,1,121,20151118
1051023,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ÐË°²ÃË,Hinggan,1,121,20151118
1053811,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,³à·åÊÐ,Chifeng,1,121,20151118
1053812,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,³à·åÊÐ,Chifeng,0,220,20151118
1053813,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,³à·åÊÐ,Chifeng,1,121,20151118
1082061,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôÂ×±´¶ûÊÐ,Hulunbuir,0,220,20151118
1082062,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôÂ×±´¶ûÊÐ,Hulunbuir,0,220,20151118
1082063,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôÂ×±´¶ûÊÐ,Hulunbuir,0,220,20151118
1082591,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôÂ×±´¶ûÊÐ,Hulunbuir,0,220,20151118
1082592,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôÂ×±´¶ûÊÐ,Hulunbuir,1,121,20151118
1082593,ÄÚÃÉ¹Å×ÔÖÎÇø,Neimenggu,ºôÂ×±´¶ûÊÐ,Hulunbuir,1,121,20151118
1101311,½­ËÕÊ¡,Jiangsu,ËÕÖÝÊÐ,Suzhou,0,220,20151118
1101312,½­ËÕÊ¡,Jiangsu,ËÕÖÝÊÐ,Suzhou,1,121,20151118
1101313,½­ËÕÊ¡,Jiangsu,ËÕÖÝÊÐ,Suzhou,0,220,20151118
