ID,householdID,communityID,HH_weight,HH_weight_ad1,INDV_weight,INDV_weight_ad2,versionID
064028221002,0640282210,0640282,24339.626953125,25871.491586538465,24829.064453125,28715.096245399098,20200914
064028220001,0640282200,0640282,24339.626953125,25871.491586538465,24833.982421875,28739.32118974194,20200914
064028206001,0640282060,0640282,24339.626953125,25871.491586538465,49272.52734375,55241.10185584273,20200914
064028216001,0640282160,0640282,24339.626953125,25871.491586538465,49284.50390625,55197.424536948776,20200914
064028209001,0640282090,0640282,24339.626953125,25871.491586538465,24665.80859375,29615.93143306237,20200914
064028219002,0640282190,0640282,24339.626953125,25871.491586538465,24640.7421875,27625.571943711315,20200914
064028219001,0640282190,0640282,24339.626953125,25871.491586538465,24861.916015625,28553.70133518671,20200914
064028211001,0640282110,0640282,24339.626953125,25871.491586538465,24645.29296875,27602.118130706378,20200914
064033321001,0640333210,0640333,12942.00390625,13756.535620629373,13149.583984375,14261.839041088879,20200914
064033321002,0640333210,0640333,12942.00390625,13756.535620629373,13062.279296875,13954.97030035619,20200914
064033327001,0640333270,0640333,12942.00390625,13756.535620629373,13155.9033203125,14258.048811504917,20200914
064033327002,0640333270,0640333,12942.00390625,13756.535620629373,13064.0966796875,13948.371904707541,20200914
064033325002,0640333250,0640333,12942.00390625,13756.535620629373,13062.8828125,13955.615060924485,20200914
064033322001,0640333220,0640333,12942.00390625,13756.535620629373,13152.720703125,14254.599568218244,20200914
064033322002,0640333220,0640333,12942.00390625,13756.535620629373,13064.7080078125,13949.024612066678,20200914
064033330002,0640333300,0640333,12942.00390625,13756.535620629373,13148.5498046875,14260.717385509492,20200914
064033330001,0640333300,0640333,12942.00390625,13756.535620629373,13061.083984375,13997.346839225385,20200914
064033341001,0640333410,0640333,25884.0078125,27513.071241258745,26276.962890625,28597.227804105125,20200914
064033341002,0640333410,0640333,25884.0078125,27513.071241258745,26111.69140625,27974.58146997228,20200914
064033324001,0640333240,0640333,12942.00390625,13756.535620629373,13062.279296875,13954.97030035619,20200914
064033333001,0640333330,0640333,12942.00390625,13756.535620629373,26282.8984375,28614.75596207174,20200914
064033306002,0640333060,0640333,12942.00390625,13756.535620629373,19721.279296875,21389.39994988428,20200914
064033306001,0640333060,0640333,12942.00390625,13756.535620629373,19593.419921875,20932.456493836176,20200914
064033301002,0640333010,0640333,12942.00390625,13756.535620629373,13155.9033203125,14258.048811504917,20200914
064033301001,0640333010,0640333,12942.00390625,13756.535620629373,13067.8134765625,14216.693818719208,20200914
064033342002,0640333420,0640333,12942.00390625,13756.535620629373,13162.412109375,14594.657849184825,20200914
064033342001,0640333420,0640333,12942.00390625,13756.535620629373,13070.353515625,14550.226237292729,20200914
064033331002,0640333310,0640333,12942.00390625,13756.535620629373,13150.6240234375,14262.967051657384,20200914
064033331001,0640333310,0640333,12942.00390625,13756.535620629373,13062.279296875,13954.97030035619,20200914
