communityID,province,city,urban_nbs,areatype,versionID
1082591,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,0,220,20151118
1082592,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,1,121,20151118
1082593,ÄÚÃÉ¹Å×ÔÖÎÇø,ºôÂ×±´¶ûÊÐ,1,121,20151118
1101311,½­ËÕÊ¡,ËÕÖÝÊÐ,0,220,20151118
1101312,½­ËÕÊ¡,ËÕÖÝÊÐ,1,121,20151118
1101313,½­ËÕÊ¡,ËÕÖÝÊÐ,0,220,20151118
1111541,½­ËÕÊ¡,ÐìÖÝÊÐ,1,111,20151118
1111542,½­ËÕÊ¡,ÐìÖÝÊÐ,1,122,20151118
1111543,½­ËÕÊ¡,ÐìÖÝÊÐ,1,111,20151118
1127441,½­ËÕÊ¡,Ì©ÖÝÊÐ,1,111,20151118
1127442,½­ËÕÊ¡,Ì©ÖÝÊÐ,1,122,20151118
1127443,½­ËÕÊ¡,Ì©ÖÝÊÐ,1,122,20151118
1146041,½­ËÕÊ¡,ÑÎ³ÇÊÐ,1,111,20151118
1146042,½­ËÕÊ¡,ÑÎ³ÇÊÐ,1,111,20151118
1146043,½­ËÕÊ¡,ÑÎ³ÇÊÐ,0,220,20151118
1160061,½­ËÕÊ¡,ËÞÇ¨ÊÐ,0,220,20151118
1160062,½­ËÕÊ¡,ËÞÇ¨ÊÐ,1,121,20151118
1160063,½­ËÕÊ¡,ËÞÇ¨ÊÐ,0,220,20151118
1174891,½­ËÕÊ¡,ÑïÖÝÊÐ,1,112,20151118
1174892,½­ËÕÊ¡,ÑïÖÝÊÐ,1,122,20151118
1174893,½­ËÕÊ¡,ÑïÖÝÊÐ,0,220,20151118
1182761,½­ËÕÊ¡,Á¬ÔÆ¸ÛÊÐ,1,123,20151118
1182762,½­ËÕÊ¡,Á¬ÔÆ¸ÛÊÐ,0,220,20151118
1182763,½­ËÕÊ¡,Á¬ÔÆ¸ÛÊÐ,0,220,20151118
1224901,ÖØÇìÊÐ,ÖØÇìÊÐ,0,220,20151118
1224902,ÖØÇìÊÐ,ÖØÇìÊÐ,0,220,20151118
1224903,ÖØÇìÊÐ,ÖØÇìÊÐ,1,121,20151118
1240991,ÖØÇìÊÐ,ÖØÇìÊÐ,0,220,20151118
1240992,ÖØÇìÊÐ,ÖØÇìÊÐ,0,220,20151118
1240993,ÖØÇìÊÐ,ÖØÇìÊÐ,0,220,20151118
1340041,¸ÊËàÊ¡,À¼ÖÝÊÐ,1,112,20151118
1340042,¸ÊËàÊ¡,À¼ÖÝÊÐ,1,111,20151118
1340043,¸ÊËàÊ¡,À¼ÖÝÊÐ,1,111,20151118
1349021,¸ÊËàÊ¡,¶¨Î÷ÊÐ,0,220,20151118
1349022,¸ÊËàÊ¡,¶¨Î÷ÊÐ,1,121,20151118
1349023,¸ÊËàÊ¡,¶¨Î÷ÊÐ,0,220,20151118
1355591,¸ÊËàÊ¡,Æ½Á¹ÊÐ,0,220,20151118
1355592,¸ÊËàÊ¡,Æ½Á¹ÊÐ,0,220,20151118
1355593,¸ÊËàÊ¡,Æ½Á¹ÊÐ,0,220,20151118
1382021,¸ÊËàÊ¡,ÕÅÒ´ÊÐ,0,220,20151118
1382022,¸ÊËàÊ¡,ÕÅÒ´ÊÐ,1,121,20151118
1382023,¸ÊËàÊ¡,ÕÅÒ´ÊÐ,0,220,20151118
1411541,ºÚÁú½­Ê¡,¼¦Î÷ÊÐ,0,220,20151118
1411542,ºÚÁú½­Ê¡,¼¦Î÷ÊÐ,1,111,20151118
1411543,ºÚÁú½­Ê¡,¼¦Î÷ÊÐ,0,220,20151118
1424031,ºÚÁú½­Ê¡,ÆëÆë¹þ¶ûÊÐ,1,121,20151118
1424032,ºÚÁú½­Ê¡,ÆëÆë¹þ¶ûÊÐ,1,121,20151118
1424033,ºÚÁú½­Ê¡,ÆëÆë¹þ¶ûÊÐ,1,121,20151118
1440161,ºÚÁú½­Ê¡,¹þ¶û±õÊÐ,1,111,20151118
1440162,ºÚÁú½­Ê¡,¹þ¶û±õ,1,111,20151118
1440163,ºÚÁú½­Ê¡,¹þ¶û±õÊÐ,1,111,20151118
1455281,ºÚÁú½­Ê¡,¼ÑÄ¾Ë¹ÊÐ,1,111,20151118
1455282,ºÚÁú½­Ê¡,¼ÑÄ¾Ë¹ÊÐ,1,111,20151118
1455283,ºÚÁú½­Ê¡,¼ÑÄ¾Ë¹ÊÐ,1,111,20151118
1504781,¹ã¶«Ê¡,·ðÉ½ÊÐ,1,112,20151118
1504782,¹ã¶«Ê¡,·ðÉ½ÊÐ,1,112,20151118
1504783,¹ã¶«Ê¡,·ðÉ½ÊÐ,1,112,20151118
1511561,¹ã¶«Ê¡,ÉîÛÚÊÐ,1,111,20151118
1511562,¹ã¶«Ê¡,ÉîÛÚÊÐ,1,112,20151118
1511563,¹ã¶«Ê¡,ÉîÛÚÊÐ,1,111,20151118
1538591,¹ã¶«Ê¡,³±ÖÝÊÐ,1,122,20151118
1538592,¹ã¶«Ê¡,³±ÖÝÊÐ,0,220,20151118
1538593,¹ã¶«Ê¡,³±ÖÝÊÐ,1,121,20151118
1540441,¹ã¶«Ê¡,¹ãÖÝÊÐ,1,121,20151118
1540442,¹ã¶«Ê¡,¹ãÖÝÊÐ,0,220,20151118
1540443,¹ã¶«Ê¡,¹ãÖÝÊÐ,1,112,20151118
1540581,¹ã¶«Ê¡,¹ãÖÝÊÐ,1,111,20151118
1540582,¹ã¶«Ê¡,¹ãÖÝÊÐ,1,112,20151118
1540583,¹ã¶«Ê¡,¹ãÖÝÊÐ,1,111,20151118
1546281,¹ã¶«Ê¡,Ã¯ÃûÊÐ,0,220,20151118
1546282,¹ã¶«Ê¡,Ã¯ÃûÊÐ,0,220,20151118
1546283,¹ã¶«Ê¡,Ã¯ÃûÊÐ,1,122,20151118
1546311,¹ã¶«Ê¡,Ã¯ÃûÊÐ,0,220,20151118
1546312,¹ã¶«Ê¡,Ã¯ÃûÊÐ,1,122,20151118
1546313,¹ã¶«Ê¡,Ã¯ÃûÊÐ,1,111,20151118
1546761,¹ã¶«Ê¡,Ã¯ÃûÊÐ,1,121,20151118
1546762,¹ã¶«Ê¡,Ã¯ÃûÊÐ,0,220,20151118
1546763,¹ã¶«Ê¡,Ã¯ÃûÊÐ,0,220,20151118
1556761,¹ã¶«Ê¡,ÇåÔ¶ÊÐ,0,220,20151118
1556762,¹ã¶«Ê¡,ÇåÔ¶ÊÐ,1,121,20151118
1556763,¹ã¶«Ê¡,ÇåÔ¶ÊÐ,1,121,20151118
1582311,¹ã¶«Ê¡,½­ÃÅÊÐ,1,111,20151118
1582312,¹ã¶«Ê¡,½­ÃÅÊÐ,1,121,20151118
1582313,¹ã¶«Ê¡,½­ÃÅÊÐ,0,220,20151118
1582781,¹ã¶«Ê¡,½­ÃÅÊÐ,0,220,20151118
1582782,¹ã¶«Ê¡,½­ÃÅÊÐ,1,112,20151118
1582783,¹ã¶«Ê¡,½­ÃÅÊÐ,1,122,20151118
1601041,ÁÉÄþÊ¡,±¾ÏªÊÐ,1,111,20151118
1601042,ÁÉÄþÊ¡,±¾ÏªÊÐ,1,111,20151118
1601043,ÁÉÄþÊ¡,±¾ÏªÊÐ,1,111,20151118
1611591,ÁÉÄþÊ¡,°°É½ÊÐ,0,220,20151118
1611592,ÁÉÄþÊ¡,°°É½ÊÐ,0,220,20151118
1611593,ÁÉÄþÊ¡,°°É½ÊÐ,1,121,20151118
1624311,ÁÉÄþÊ¡,´óÁ¬ÊÐ,1,111,20151118
1624312,ÁÉÄþÊ¡,´óÁ¬ÊÐ,0,220,20151118
1624313,ÁÉÄþÊ¡,´óÁ¬ÊÐ,1,111,20151118
1660061,ÁÉÄþÊ¡,³¯ÑôÊÐ,0,220,20151118
1660062,ÁÉÄþÊ¡,³¯ÑôÊÐ,0,220,20151118
1660063,ÁÉÄþÊ¡,³¯ÑôÊÐ,0,220,20151118
1682311,ÁÉÄþÊ¡,½õÖÝÊÐ,0,220,20151118
1682312,ÁÉÄþÊ¡,½õÖÝÊÐ,0,220,20151118
1682313,ÁÉÄþÊ¡,½õÖÝÊÐ,1,111,20151118
1711591,É½Î÷Ê¡,ÑôÈªÊÐ,0,220,20151118
1711592,É½Î÷Ê¡,ÑôÈªÊÐ,0,220,20151118
1711593,É½Î÷Ê¡,ÑôÈªÊÐ,0,220,20151118
1746431,É½Î÷Ê¡,ÐÃÖÝÊÐ,0,220,20151118
1746432,É½Î÷Ê¡,ÐÃÖÝÊÐ,0,220,20151118
1746433,É½Î÷Ê¡,ÐÃÖÝÊÐ,1,121,20151118
1755311,É½Î÷Ê¡,ÔË³ÇÊÐ,1,111,20151118
1755312,É½Î÷Ê¡,ÔË³ÇÊÐ,0,220,20151118
1755313,É½Î÷Ê¡,ÔË³ÇÊÐ,0,220,20151118
1774021,É½Î÷Ê¡,ÁÙ·ÚÊÐ,0,210,20151118
1774022,É½Î÷Ê¡,ÁÙ·ÚÊÐ,1,122,20151118
1774023,É½Î÷Ê¡,ÁÙ·ÚÊÐ,0,210,20151118
1840371,ÉÏº£ÊÐ,ÉÏº£ÊÐ,1,111,20151118
1840372,ÉÏº£ÊÐ,ÉÏº£ÊÐ,1,111,20151118
1840373,ÉÏº£ÊÐ,ÉÏº£ÊÐ,1,111,20151118
1940371,Ìì½ò,Ìì½ò,1,112,20151118
1940372,Ìì½ò,Ìì½ò,1,111,20151118
1940373,Ìì½ò,Ìì½ò,1,112,20151118
2001041,Õã½­Ê¡,ºþÖÝÊÐ,1,111,20151118
2001042,Õã½­Ê¡,ºþÖÝÊÐ,1,111,20151118
2001043,Õã½­Ê¡,ºþÖÝÊÐ,0,220,20151118
2024541,Õã½­Ê¡,Äþ²¨ÊÐ,0,220,20151118
2024542,Õã½­Ê¡,Äþ²¨ÊÐ,1,122,20151118
