,fi_2011,chronic_disease_1_2011,health_compared_peer_2011,fi_broad_exploratory_2011,functional_difficulty_1_2011,waist_cm_2011,bmi_2011,chronic_disease_2_2011,self_rated_health_2011,functional_difficulty_5_2011,functional_difficulty_6_2011,systolic_bp_mean_2011,chronic_disease_5_2011,sex_code_2011,bmi_to_fi_2011,weight_kg_2011,chronic_disease_3_2011,depressed_frequency_2011,functional_difficulty_4_2011,sad_or_depressed_2011
functional_difficulty_6_2011,0.2611553649466083,0.09271919999251284,0.3081069081033079,0.6250632703628006,0.35644411960940064,0.058552717259491044,0.024222818988815512,0.037794972009306274,0.3042630851268342,0.4692569684896739,1.0,0.05301158172744354,0.09122802610809347,0.09927539686516282,0.06026125745961356,-0.05210615367824135,0.07032793376732352,0.22642478112738956,0.507116718950834,0.21884833489521394
systolic_bp_mean_2011,0.1494563682443428,0.3607999575923512,0.02255747970776314,0.10838871061262487,0.09129197472672468,0.21144449783764424,0.15361736639181608,0.05698048214825408,0.04533523338156141,0.05555791762183409,0.05301158172744354,1.0,0.009819421372337626,-0.0024665185360148406,0.10620870489681716,0.09906021347308547,0.047124487741275894,-0.02308256126346382,0.05054453511868647,-0.006806458496425445
chronic_disease_5_2011,0.40260305874924973,0.014873927503747018,0.157207831374887,0.22703282592056,0.10941041160751139,-0.04088972864327025,-0.06987492388466077,-0.005698758288803828,0.13499854953512175,0.12838461639106644,0.09122802610809347,0.009819421372337626,1.0,-0.06292887746728222,0.01484133196332473,-0.06967838368966635,0.011633397155771528,0.06525285022182255,0.07555982513250632,0.08449746724076006
sex_code_2011,0.0631968019546969,0.02021800859436402,0.08300976243815505,0.1271399679473402,0.16128064431764216,0.023478315127759077,0.11783364050710568,-0.0030912976626114377,0.08418444087893456,0.15074596980051255,0.09927539686516282,-0.0024665185360148406,-0.06292887746728222,1.0,0.11286602314846904,-0.260455642920732,0.006616928962345467,0.11531774114932096,0.12331184829505855,0.08921911160551863
bmi_to_fi_2011,0.41002820770112114,0.14859289129942851,0.028681907104312072,0.07532003314119205,0.07916864625928932,0.38955295702516374,0.45869014593145063,0.11036906795936771,0.021108141454725494,0.07884110235777554,0.06026125745961356,0.10620870489681716,0.01484133196332473,0.11286602314846904,1.0,0.35827312497549324,0.06651659219325465,0.0027933857466505355,0.053487659880511816,0.020085321900233384
weight_kg_2011,0.10914648702796863,0.17302880305046467,-0.13881098733338626,-0.13891256777890232,-0.12281613197197908,0.7195359353957989,0.8288785522816318,0.16699078717144122,-0.13615930842450097,-0.07647491289680114,-0.05210615367824135,0.09906021347308547,-0.06967838368966635,-0.260455642920732,0.35827312497549324,1.0,0.10160747960421329,-0.11420030840585278,-0.06678664314463058,-0.1386554048187051
chronic_disease_3_2011,0.2806654628913061,0.15588865504340993,0.11305812324063962,0.15703074373873085,0.07018399549428954,0.13226872236543222,0.10834082848340953,0.19355622715125745,0.10128683494953936,0.08358810194980208,0.07032793376732352,0.047124487741275894,0.011633397155771528,0.006616928962345467,0.06651659219325465,0.10160747960421329,1.0,0.0180279973652141,0.057930759040190086,-0.013437908197008916
depressed_frequency_2011,0.18215575514938018,0.024255816422021678,0.28628593330772684,0.42786213910865445,0.21904859608175867,-0.057985682667676744,-0.05739769682678443,0.005125057956363809,0.2701020562510935,0.23742315041172907,0.22642478112738956,-0.02308256126346382,0.06525285022182255,0.11531774114932096,0.0027933857466505355,-0.11420030840585278,0.0180279973652141,1.0,0.22231207465547206,0.43607273882160474
functional_difficulty_4_2011,0.23805236444980088,0.09783714659736573,0.2947041746631025,0.6075472598349352,0.3436886569087513,0.04402587604402139,0.02130222995491042,0.03929187774157685,0.2820522495966881,0.4712288690585919,0.507116718950834,0.05054453511868647,0.07555982513250632,0.12331184829505855,0.053487659880511816,-0.06678664314463058,0.057930759040190086,0.22231207465547206,1.0,0.23430801370088197
sad_or_depressed_2011,0.17965513712384074,0.021822864494117387,0.2596978233039308,0.44862832152392734,0.17815998421387177,-0.07719027125545704,-0.07377974814257032,-0.02390739917430939,0.2265875766509538,0.21789972943820918,0.21884833489521394,-0.006806458496425445,0.08449746724076006,0.08921911160551863,0.020085321900233384,-0.1386554048187051,-0.013437908197008916,0.43607273882160474,0.23430801370088197,1.0
