ID,householdID,communityID,i002,i003,i004,i005,i005_1,i006,i007,i008,i009,i010,i011,i012_1,i012_4,i012_3,i012_2,i012_5,i013,i014s1,i014s2,i015,i017,i018,i019,i020,i021,i022,i023,i024,i027_w3,i025,i026,versionID
064028218002,0640282180,0640282,0.0,2,1,1995,,2,,5,2,2,5,2,1,1,1,1,,,2,,1,1,1,1,2,2,2,1,2,3,3,20170531
064028207002,0640282070,0640282,0.0,2,1,1995,,2,,2,2,2,4,3,2,2,2,1,,,2,,1,2,1,1,3,2,2,1,2,6,6,20170531
064028217001,0640282170,0640282,0.0,2,1,1995,,2,,3,2,2,4,2,1,1,1,1,,,2,,1,2,1,1,3,2,2,1,1,3,3,20170531
064028223001,0640282230,0640282,0.0,2,1,2003,,2,,10,1,2,2,2,1,1,1,1,,,2,,1,2,1,1,3,2,1,1,1,3,3,20170531
064028205001,0640282050,0640282,0.0,2,1,2005,,2,,1,,2,2,2,1,1,2,1,,,2,,1,2,1,1,2,2,1,1,2,1,3,20170531
064028203002,0640282030,0640282,0.0,2,1,1995,,2,,3,2,2,5,1,1,1,1,1,,,2,,1,2,2,1,7,5,2,2,2,3,3,20170531
064028213001,0640282130,0640282,0.0,2,1,,4,2,,4,2,2,5,2,1,1,1,1,,,2,,1,2,1,1,7,2,2,1,2,2,3,20170531
064028221001,0640282210,0640282,0.0,2,1,1988,,2,,5,2,2,5,2,1,1,1,2,,1,,1,1,2,2,1,7,4,2,1,2,3,3,20170531
064028226002,0640282260,0640282,0.0,2,1,,3,2,,3,2,2,5,3,1,1,1,2,,,2,,1,2,1,1,,2,1,1,2,3,3,20170531
064028204002,0640282040,0640282,0.0,2,1,1997,,2,,5,2,2,5,2,1,1,2,1,,,2,,1,2,1,1,7,2,1,1,1,2,3,20170531
064028220001,0640282200,0640282,0.0,1,1,,4,2,,1,,2,1,2,1,1,1,1,,1,,1,1,2,2,1,7,5,2,1,2,5,3,20170531
064028206001,0640282060,0640282,0.0,2,1,1990,,2,,4,2,2,5,2,1,1,0,2,,,2,,1,2,2,1,7,4,2,1,2,2,3,20170531
064028216001,0640282160,0640282,0.0,2,1,1993,,2,,1,,2,3,2,1,1,1,2,,,2,,1,2,1,2,,2,2,1,2,2,3,20170531
064028209001,0640282090,0640282,0.0,2,1,1980,,2,,4,2,1,,2,1,1,0,1,,1,,1,1,2,1,2,,2,2,2,2,3,3,20170531
064028219002,0640282190,0640282,0.0,2,1,1986,,2,,3,2,2,5,2,1,1,0,1,,1,,1,1,2,1,1,7,2,1,1,2,3,3,20170531
064028211001,0640282110,0640282,0.0,2,1,1999,,2,,2,2,2,4,3,1,1,1,0,,,2,,1,2,1,1,7,2,2,1,2,1,3,20170531
064028224001,0640282240,0640282,0.0,2,1,2005,,2,,5,2,2,5,2,1,1,1,2,,,2,,1,2,1,1,2,2,1,1,2,4,2,20170531
064028214001,0640282140,0640282,0.0,2,1,2005,,2,,1,,2,3,2,1,1,1,2,,,2,,1,2,1,1,3,2,2,1,2,4,2,20170531
064028202001,0640282020,0640282,0.0,2,1,,,2,,1,,2,1,2,1,1,1,0,,,2,,1,2,2,1,2,2,2,2,2,2,2,20170531
064033321002,0640333210,0640333,,2,1,1987,,1,1,,,2,1,3,1,1,1,0,,,2,,1,2,2,2,,5,2,2,2,3,3,20170531
064033327002,0640333270,0640333,0.0,2,1,,4,2,,1,,1,,3,1,1,1,1,,,2,,1,3,2,1,2,5,2,1,2,2,3,20170531
064033325001,0640333250,0640333,,2,1,1982,,1,1,,,1,,2,1,1,1,1,,1,,2,1,2,2,2,,5,2,2,2,1,3,20170531
064033322001,0640333220,0640333,240.0,2,1,1995,,1,1,,,1,,3,2,1,1,0,,,2,,1,3,2,1,2,6,2,2,2,4,3,20170531
064033330002,0640333300,0640333,300.0,2,1,2000,,1,1,,,1,,2,1,1,2,0,,1,,2,1,2,2,1,2,6,1,2,2,2,3,20170531
064033341001,0640333410,0640333,250.0,2,1,2009,,1,1,,,2,2,4,1,2,1,1,,1,,2,1,2,2,1,2,6,2,1,2,2,3,20170531
064033324002,0640333240,0640333,120.0,2,1,1982,,1,1,,,2,2,3,1,1,3,1,,1,,2,1,2,2,2,,5,2,2,2,2,3,20170531
064033333001,0640333330,0640333,200.0,2,1,1983,,1,1,,,2,2,4,1,1,1,0,,1,,2,1,3,2,2,,5,2,2,1,4,3,20170531
064033306002,0640333060,0640333,420.0,2,6,1935,,1,1,,,2,3,2,1,1,2,0,,1,,2,1,2,2,2,,7,2,2,2,2,3,20170531
064033301001,0640333010,0640333,400.0,2,6,1990,,1,1,,,1,,3,1,0,1,0,10,1,,2,1,2,2,1,6,6,2,2,2,2,3,20170531
064033342002,0640333420,0640333,220.0,2,1,2003,,1,1,,,2,1,4,1,1,2,0,,1,,2,1,2,2,2,,6,2,2,2,3,3,20170531
064033331002,0640333310,0640333,120.0,2,1,2010,,1,1,,,2,1,4,1,2,2,0,,1,,2,1,3,2,2,,6,2,2,2,2,3,20170531
064033303001,0640333030,0640333,110.0,2,6,1980,,1,1,,,2,1,4,1,0,1,0,50,1,,1,2,3,2,2,,6,2,2,2,3,3,20170531
064033340002,0640333400,0640333,,2,1,1985,,1,1,,,2,1,3,1,0,2,0,10,1,,2,1,2,2,2,,6,2,2,2,2,3,20170531
064033336001,0640333360,0640333,,2,6,1975,,1,1,,,2,2,2,1,0,0,0,10,1,,2,1,3,2,2,,5,2,2,2,3,3,20170531
064033304001,0640333040,0640333,169.0,2,1,1983,,1,1,,,2,2,2,1,0,0,0,20,1,,2,1,3,2,2,,6,2,2,2,3,2,20170531
064033343001,0640333430,0640333,,2,1,2006,,1,1,,,2,2,3,1,1,2,0,,1,,2,1,3,2,2,,5,2,2,2,2,3,20170531
064033337001,0640333370,0640333,250.0,2,1,,6,1,1,,,1,,5,2,0,2,0,5,1,,2,1,2,1,2,,5,2,2,2,1,3,20170531
064033307001,0640333070,0640333,200.0,2,1,2005,,1,1,,,2,1,4,1,0,1,0,5,1,,1,1,2,2,2,,5,2,2,2,6,6,20170531
064033326001,0640333260,0640333,130.0,2,1,1981,,1,1,,,1,,2,0,1,0,0,,1,,2,1,2,2,2,,6,2,2,2,3,3,20170531
064033320001,0640333200,0640333,0.0,2,1,2013,,3,,,2,2,2,8,0,4,2,1,,1,,2,1,2,2,2,,6,2,,2,2,3,20170531
064033308001,0640333080,0640333,150.0,2,1,1965,,1,1,,,2,3,3,1,1,1,1,,1,,2,1,3,2,2,,6,2,2,2,3,3,20170531
064033334001,0640333340,0640333,391.0,2,1,,4,1,1,,,2,1,4,1,1,1,0,,1,,2,1,2,2,2,,6,2,2,2,2,3,20170531
064033319002,0640333190,0640333,0.0,2,1,2009,,2,,7,1,1,,3,1,2,1,1,,,2,,1,2,1,1,3,2,2,2,2,3,3,20170531
064033313002,0640333130,0640333,238.95,2,1,1990,,1,1,,,2,2,4,1,1,1,0,,1,,2,1,2,2,2,,6,2,2,2,4,3,20170531
064033316002,0640333160,0640333,95.0,2,1,1978,,1,1,,,2,3,2,1,2,1,0,,1,,2,1,3,2,2,,6,2,2,2,4,3,20170531
064033335002,0640333350,0640333,,2,1,1990,,1,1,,,2,3,3,1,1,2,0,,1,,2,1,2,1,1,2,6,2,2,2,4,3,20170531
064033314002,0640333140,0640333,,2,1,1999,,1,1,,,2,1,3,1,0,1,0,10,1,,2,1,2,2,2,,6,2,2,2,2,2,20170531
064033318002,0640333180,0640333,238.95,2,1,1999,,1,1,,,2,2,3,1,1,1,1,,1,,2,1,2,2,2,,6,2,2,2,3,3,20170531
064033328001,0640333280,0640333,230.0,2,1,1987,,1,1,,,2,1,3,1,1,1,0,,1,,2,1,2,2,1,2,6,2,2,2,2,3,20170531
