,fi_age_interaction_2011,fi_2011,chronic_disease_1_2011,health_compared_peer_2011,waist_height_ratio_2011,fi_broad_exploratory_2011,functional_difficulty_1_2011,waist_cm_2011,central_obesity_2011,fi_broad_age_interaction_2011,bmi_2011,fi_high_2011,chronic_disease_2_2011,self_rated_health_2011,functional_difficulty_5_2011,fi_broad_high_2011,bmi_obesity_2011,functional_difficulty_6_2011,systolic_bp_mean_2011,chronic_disease_5_2011
bmi_2011,0.13922718202356885,0.19608022886568086,0.21673471417608886,-0.07302926269138318,0.7392888607504405,-0.025147805294254897,-0.008211446861151363,0.7734205235942525,0.6335744088390348,-0.061815474665007114,1.0,0.08946808049438561,0.16929476633173685,-0.06616037366228368,0.03147111246904594,-0.024919907976451123,0.6482316524172138,0.024222818988815512,0.15361736639181608,-0.06987492388466077
fi_high_2011,0.7071428496793806,0.7129379162853251,0.29626889043643073,0.2217731748746773,0.11114370826737126,0.3842635579313491,0.16035765688209627,0.0870384709186215,0.08796716887470456,0.3550467065041269,0.08946808049438561,1.0,0.12621249382333782,0.21538612708182747,0.19806220154686702,0.34018766883152424,0.20592842804367764,0.17794335315369708,0.10080239692184897,0.3569656010439462
chronic_disease_2_2011,0.15173132595671565,0.16307541665039452,0.21859925392136867,0.07660022437925905,0.13982655548346018,0.1439676091305425,0.044401702505905874,0.16880421545196356,0.13705958223569478,0.12177133955137273,0.16929476633173685,0.12621249382333782,1.0,0.08954206064698406,0.047615390839923576,0.09594253355766746,0.13849549412663784,0.037794972009306274,0.05698048214825408,-0.005698758288803828
self_rated_health_2011,0.33569621931757304,0.33509270236469085,0.13778760878654478,,0.013420043504358518,0.545556595261795,0.3487438700606472,-0.05765609422150784,-0.01975154673332754,0.49813985107770936,-0.06616037366228368,0.21538612708182747,0.08954206064698406,1.0,0.3377168760758445,0.35551421496570035,-0.007963869183981565,0.3042630851268342,0.04533523338156141,0.13499854953512175
functional_difficulty_5_2011,0.3165637187602204,0.2930003905296006,0.1233433832344289,0.33688219822414417,0.1509410627777993,0.6245740716353049,0.454697126146408,0.06769106695836821,0.0916624271395077,0.5991231301256189,0.03147111246904594,0.19806220154686702,0.047615390839923576,0.3377168760758445,1.0,0.5032218825651104,0.05676788994441166,0.4692569684896739,0.05555791762183409,0.12838461639106644
fi_broad_high_2011,0.4363477787769457,0.4011863113000098,0.1673154960502804,0.4150789608445505,0.09949513070331426,0.8018289199445768,0.39031536057046995,0.023005186802006458,0.050714873300727034,0.7855092781861878,-0.024919907976451123,0.34018766883152424,0.09594253355766746,0.35551421496570035,0.5032218825651104,1.0,0.019510131261798323,0.5297598558001667,0.08159820323511731,0.18385549204956486
bmi_obesity_2011,0.21930621258742067,0.2590532467203097,0.1746543430711961,-0.017733619719604916,0.4992360713578655,0.029133377393596265,0.038138581199559284,0.5122685760697726,0.38865491590696905,0.00748826361733643,0.6482316524172138,0.20592842804367764,0.13849549412663784,-0.007963869183981565,0.05676788994441166,0.019510131261798323,1.0,0.03889928383621163,0.12059242322418133,-0.017276435421912036
functional_difficulty_6_2011,0.2858324061538573,0.2611553649466083,0.09271919999251284,0.3081069081033079,0.11665195584400265,0.6250632703628006,0.35644411960940064,0.058552717259491044,0.07630313071717171,0.6007192956580598,0.024222818988815512,0.17794335315369708,0.037794972009306274,0.3042630851268342,0.4692569684896739,0.5297598558001667,0.03889928383621163,1.0,0.05301158172744354,0.09122802610809347
systolic_bp_mean_2011,0.18753557678420815,0.1494563682443428,0.3607999575923512,0.02255747970776314,0.23252221671698897,0.10838871061262487,0.09129197472672468,0.21144449783764424,0.18053737605182874,0.15108658994193697,0.15361736639181608,0.10080239692184897,0.05698048214825408,0.04533523338156141,0.05555791762183409,0.08159820323511731,0.12059242322418133,0.05301158172744354,1.0,0.009819421372337626
chronic_disease_5_2011,0.4167846452939148,0.40260305874924973,0.014873927503747018,0.157207831374887,-0.02849416679706222,0.22703282592056,0.10941041160751139,-0.04088972864327025,-0.041221445142330115,0.22299201576920902,-0.06987492388466077,0.3569656010439462,-0.005698758288803828,0.13499854953512175,0.12838461639106644,0.18385549204956486,-0.017276435421912036,0.09122802610809347,0.009819421372337626,1.0
