,fi_age_interaction_2011,fi_2011,fi_broad_exploratory_2011,fi_broad_age_interaction_2011,fi_high_2011,chronic_disease_1_2011,functional_difficulty_1_2011,fi_broad_high_2011,chronic_disease_5_2011,self_rated_health_2011,health_compared_peer_2011,age_2011,functional_difficulty_6_2011,functional_difficulty_5_2011,functional_difficulty_19_2011,functional_difficulty_17_2011,bmi_to_fi_2011,functional_difficulty_8_2011,functional_difficulty_16_2011,chronic_disease_14_2011
health_compared_peer_2011,0.3307619019173376,0.32661337293758036,0.5552377525977943,0.5174939984941944,0.22104723280693542,0.14260036586563243,0.35172442771587537,0.41509770347047353,0.15636022185127202,,1.0,0.13730266326818383,0.3076324172836801,0.3342293527527009,0.22184541360969587,0.26003909849428586,0.024429945371427262,0.2767218171117839,0.26073582696955006,0.1098423552531366
age_2011,0.29832652652417696,0.12950998067311004,0.32321144570883686,0.47219347857307115,0.09889368492457759,0.15202648699938665,0.2853946526956722,0.25959922247470696,0.11924346256171961,0.13109975169380406,0.13730266326818383,1.0,0.20696026140396065,0.2363316219085521,0.21344609215609883,0.24408396091044823,-0.01061242895329325,0.27957314499558983,0.24044592866115255,0.09007404335351214
functional_difficulty_6_2011,0.28609850588955066,0.2620498643583764,0.6269315846357914,0.602478790806118,0.1809154632608037,0.09778892121416914,0.35629626758226135,0.531680079240037,0.09060949932545721,0.30366392399633335,0.3076324172836801,0.20696026140396065,1.0,0.46900037867604916,0.2507381593326443,0.3126933887398863,0.06236929083294479,0.34691986399042235,0.33261468922441095,0.05819605461843234
functional_difficulty_5_2011,0.31393850823242314,0.2912529516642043,0.6233934234585732,0.5978842443715535,0.1973721651801781,0.12381578553209598,0.4510315699099601,0.5021466020136485,0.13042472763111357,0.334869162325115,0.3342293527527009,0.2363316219085521,0.46900037867604916,1.0,0.25704724992732497,0.2977330128285171,0.07882929671464206,0.33672291244413477,0.31743705863281707,0.10757446746665959
functional_difficulty_19_2011,0.15871477864803832,0.1242219758956599,0.5136270632027584,0.5221198595033256,0.0836453707792449,0.06922200982360609,0.2144540248262477,0.4391240912291942,0.04345979400971213,0.193717561766047,0.22184541360969587,0.21344609215609883,0.2507381593326443,0.25704724992732497,1.0,0.39628955635438473,0.0006247673645825395,0.31893464859156473,0.38447111219276936,0.046435176194905066
functional_difficulty_17_2011,0.19134228364786673,0.14739111250927744,0.6170882190466311,0.6346385521581919,0.11433281265412847,0.09401126113915774,0.22782859967746275,0.5415564141884803,0.07649075334413466,0.20454629973472685,0.26003909849428586,0.24408396091044823,0.3126933887398863,0.2977330128285171,0.39628955635438473,1.0,0.01056083487356004,0.42695728322328697,0.7287394757769763,0.0643787397953688
bmi_to_fi_2011,0.38427214140243515,0.4084006167655062,0.07311705841440447,0.06270129502702261,0.24172991463012833,0.14694204335157565,0.07747140305711639,0.0525774716538975,0.011303376818805475,0.019890313773522874,0.024429945371427262,-0.01061242895329325,0.06236929083294479,0.07882929671464206,0.0006247673645825395,0.01056083487356004,1.0,0.018091678109152923,0.013294540764461368,0.01350157569891202
functional_difficulty_8_2011,0.19853172759514887,0.14989898739668112,0.5788990929991852,0.6013601820033122,0.1068398312759178,0.08624616425965592,0.28052205414753856,0.5081059573367271,0.08120013097819125,0.22659081937274955,0.2767218171117839,0.27957314499558983,0.34691986399042235,0.33672291244413477,0.31893464859156473,0.42695728322328697,0.018091678109152923,1.0,0.4532808632896787,0.054910570936431556
functional_difficulty_16_2011,0.18549305154587023,0.14431875292439272,0.6353631861754585,0.649137707359371,0.11336799064084557,0.09273433627657549,0.242225968848523,0.5686957419208049,0.07562671282742207,0.2228169260594778,0.26073582696955006,0.24044592866115255,0.33261468922441095,0.31743705863281707,0.38447111219276936,0.7287394757769763,0.013294540764461368,0.4532808632896787,1.0,0.0641383285142536
chronic_disease_14_2011,0.3200022954643724,0.30089615333796116,0.17293286547582312,0.1736599359768083,0.2953873886498111,0.010348655333276276,0.09239653072358614,0.14103052945716818,0.32801778973152046,0.1016040112984586,0.1098423552531366,0.09007404335351214,0.05819605461843234,0.10757446746665959,0.046435176194905066,0.0643787397953688,0.01350157569891202,0.054910570936431556,0.0641383285142536,1.0
