,fi_age_interaction_2011,fi_2011,chronic_disease_1_2011,fi_broad_exploratory_2011,fi_broad_age_interaction_2011,functional_difficulty_1_2011,health_compared_peer_2011,fi_broad_high_2011,functional_difficulty_5_2011,fi_high_2011,self_rated_health_2011,waist_height_ratio_2011,functional_difficulty_6_2011,central_obesity_2011,age_2011,waist_cm_2011,chronic_disease_2_2011,bmi_to_fi_2011,chronic_disease_3_2011,chronic_disease_5_2011
self_rated_health_2011,0.33529582705365146,0.3347062839482079,0.1381925312162862,0.5448017862462062,0.4974379972747523,0.3466094719225224,,0.3558042406154385,0.33822961176212374,0.21450065692231912,1.0,0.012411779673383276,0.30387498136273244,-0.02127793891974551,0.13238691420422444,-0.05838278059943284,0.09098089810204074,0.020237309813148117,0.10067112505429868,0.13455861975953914
waist_height_ratio_2011,0.21650641965484002,0.22298617600236098,0.23744607189748626,0.12739446848525424,0.13049605344443213,0.13389897264038877,0.016024616947004883,0.100384563842937,0.15116075011890254,0.11213816616984139,0.012411779673383276,1.0,0.11579342011658665,0.7588992870667634,0.07340604499700738,0.8924648690398465,0.14166607372047,0.3929975741502866,0.11634064483924136,-0.028325891424789067
functional_difficulty_6_2011,0.28499471490825695,0.2603305358895599,0.09303567457615193,0.6254385460573343,0.6010797452811345,0.3564096119076213,0.30701608434468547,0.530379010301195,0.46993182809982315,0.17802933317798098,0.30387498136273244,0.11579342011658665,1.0,0.07502684767850822,0.20710863496773266,0.057670647153614356,0.038315318650546576,0.05933032340873247,0.06879180461255055,0.09143333870332394
central_obesity_2011,0.1819860070140651,0.20654905214843028,0.19979701618883258,0.06357073084563279,0.05261502102344903,0.0743593053680948,0.0005654450493109201,0.0507891924970083,0.09148669393351437,0.0880220753034078,-0.02127793891974551,0.7588992870667634,0.07502684767850822,1.0,-0.022937284739194437,0.7830460901672139,0.13836364581229324,0.4252657268967558,0.11318766069443764,-0.04199792185093831
age_2011,0.3016793820171113,0.13302835705946012,0.1546363592940229,0.3243241550810337,0.47350508311929435,0.28616511960012647,0.13755722920032235,0.261352349776494,0.238913244921787,0.10106670518507842,0.13238691420422444,0.07340604499700738,0.20710863496773266,-0.022937284739194437,1.0,-0.023683342269387717,0.006888912867083459,-0.006121337805080728,0.03432087669345265,0.11623849275074774
waist_cm_2011,0.16568577725085148,0.18970292734563018,0.2428706875859232,0.02819533627730506,0.020050998918180612,0.03888121697241126,-0.04878894722260767,0.02354312127890807,0.06792274068175325,0.08813646984620267,-0.05838278059943284,0.8924648690398465,0.057670647153614356,0.7830460901672139,-0.023683342269387717,1.0,0.17007133332161195,0.38929954365544306,0.13183933866367661,-0.04123093183799246
chronic_disease_2_2011,0.15196126505092342,0.16356365353044958,0.21935650577933716,0.14440366282395828,0.12206027771869353,0.04516789345481636,0.07717973220513517,0.09672124372502484,0.04740693557556103,0.12735183682667908,0.09098089810204074,0.14166607372047,0.038315318650546576,0.13836364581229324,0.006888912867083459,0.17007133332161195,1.0,0.1112719958145781,0.19278979606253488,-0.006204392453858817
bmi_to_fi_2011,0.3860526842531245,0.40945591520528263,0.1495668239712268,0.07372490052957718,0.06430338633871505,0.07825046102752807,0.028621669067921837,0.051331697738989074,0.07870095844861826,0.2429229715017023,0.020237309813148117,0.3929975741502866,0.05933032340873247,0.4252657268967558,-0.006121337805080728,0.38929954365544306,0.1112719958145781,1.0,0.06581736244408079,0.01425819791757863
chronic_disease_3_2011,0.27141309413526915,0.2797189802076557,0.15395779273876523,0.15401015741912558,0.1389041014205817,0.06843257552630934,0.1104496655120459,0.11523440354682522,0.08210495744655674,0.23417656336861611,0.10067112505429868,0.11634064483924136,0.06879180461255055,0.11318766069443764,0.03432087669345265,0.13183933866367661,0.19278979606253488,0.06581736244408079,1.0,0.011748273037448685
chronic_disease_5_2011,0.4176805944226734,0.4032076149330918,0.015604988164577628,0.2266981431219601,0.22287493826964608,0.10900016095888444,0.15777259545390768,0.18357367800776309,0.1288145025293774,0.3570231081502175,0.13455861975953914,-0.028325891424789067,0.09143333870332394,-0.04199792185093831,0.11623849275074774,-0.04123093183799246,-0.006204392453858817,0.01425819791757863,0.011748273037448685,1.0
