feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
literature_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4614662647277457,0.6191779174012677,0.19651143313957803,0.2693836978131213,0.6843434343434344,0.1676980198019802,0.4748145255759469,0.5251854744240531,0.31565656565656564,1216,1345,125,271,0.5464998309097058,0.4535001690902942
literature_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.49508765243318914,0.6210356197665842,0.20036004363141194,0.28222996515679444,0.6136363636363636,0.1832579185520362,0.5771183131589223,0.4228816868410777,0.38636363636363635,1478,1083,153,243,0.4484274602637809,0.5515725397362191
literature_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4709514081478119,0.6222804972804974,0.20010264292689034,0.27072997873848337,0.4823232323232323,0.18817733990147784,0.6782506833268255,0.3217493166731745,0.5176767676767676,1737,824,205,191,0.3432532972607372,0.6567467027392628
literature_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.37267720600528936,0.6205233711578891,0.1967540809006011,0.28026237328562914,0.5934343434343434,0.1834504293520687,0.5915657946114798,0.4084342053885201,0.4065656565656566,1515,1046,161,235,0.43320933378424076,0.5667906662157592
literature_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4950560208705352,0.6243975285853458,0.20144695576340396,0.2836801752464403,0.6540404040404041,0.1811188811188811,0.5427567356501367,0.45724326434986334,0.34595959595959597,1390,1171,137,259,0.48359824146094016,0.5164017585390599
broad_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5217320686118078,0.6034377354174308,0.17348618927537998,0.27685325264750377,0.4621212121212121,0.1976241900647948,0.7098789535337758,0.2901210464662241,0.5378787878787878,1818,743,213,183,0.3131552248900913,0.6868447751099087
broad_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.529891014345074,0.6200273922355142,0.18782244732610018,0.26904598490048043,0.494949494949495,0.18473138548539114,0.6622413119875049,0.33775868801249515,0.5050505050505051,1696,865,200,196,0.3588096043287115,0.6411903956712885
broad_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.6060959696769714,0.6259993531567135,0.1932695591749762,0.27764127764127766,0.5707070707070707,0.18344155844155843,0.6071846934791097,0.39281530652089025,0.4292929292929293,1555,1006,170,226,0.41663848495096384,0.5833615150490361
broad_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3676056489140467,0.6202226284713594,0.19031946129332372,0.2747068676716917,0.6212121212121212,0.17634408602150536,0.551347130027333,0.4486528699726669,0.3787878787878788,1412,1149,150,246,0.4717619208657423,0.5282380791342577
broad_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5297482539495413,0.6240129723632262,0.1932793247780677,0.2724795640326976,0.5050505050505051,0.1865671641791045,0.6595080046856696,0.34049199531433033,0.494949494949495,1689,872,196,200,0.362529590801488,0.637470409198512
