ID,householdID,communityID,intro_infselect,intro_infselect_1,inf1_rtr,notice1,inf2_rtr,notice2,inf3_rtr,informant_selection,inf1_noiwreason,inf2_noiwreason,infother_reason,dd001_w4,dd002_w4,dd003_w4,dd004_w4,dd005_w4,dd006_w4,dd007_w4,dd008_w4,dd009_w4,dd010_w4,dd011_w4,dd012_w4,dd013_w4,dd014_w4,dd015_w4,dd016_w4,dd017_w4,dd018_w4,dd019_w4,dd020_w4,dd021_w4,dd022_w4,dd023_w4,dd024_w4,dd025_w4,dd026_w4,dd027_w4,dd028_w4,dd029_w4,dd030_w4,dd031_w4,dd032_w4,dd033_w4,dd034_w4,dd035_w4,dd036_w4,dd037_w4,dd039_w4,dd040_w4,dd041_w4,dd042_w4,dd043_w4,dd044_w4,dd045_w4,dd046_w4,dd047_w4,dd048_w4_s1,dd048_w4_s2,dd048_w4_s3,dd048_w4_s4,dd048_w4_s5,dd048_w4_s6,dd049_w4,dd050_w4,dd051_w4,versionID
160104141003,1601041410,1601041,1,,1,2,,,,1,,,,68,2,5,1,45.0,1,1,2,2,2,2,3,2,3,3,3,3,3,2,3,4,3,2,2,3,2,3,4,4,4,3,4,3,5,3,3,4,1,1,1,2,2,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104121001,1601041210,1601041,1,,1,2,,,,1,,,,66,1,5,1,39.0,1,2,2,2,2,2,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104121002,1601041210,1601041,1,,1,2,,,,1,,,,67,2,4,1,39.0,1,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104107002,1601041070,1601041,1,,3,2,,,,1,,,,19,2,6,3,19.0,5,2,2,2,2,2,3,3,3,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,3,4,3,3,4,4,1,1,1,1,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
160104101002,1601041010,1601041,1,,2,2,,,,1,,,,57,2,5,2,,3,2,2,2,2,2,3,4,4,4,5,4,3,3,2,3,3,2,5,3,4,3,3,3,8,3,3,3,4,3,3,4,1,1,1,2,2,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104112001,1601041120,1601041,1,,2,2,,,,1,,,,44,1,5,2,,3,1,2,2,2,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,2,2,2,2,2,2,0,0,0,0,0,6,1,2,,20200914
160104112002,1601041120,1601041,1,,2,2,,,,1,,,,44,1,5,2,,4,1,2,2,2,2,3,3,4,4,4,3,4,3,4,4,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,4,2,1,2,2,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
160104129001,1601041290,1601041,1,,1,2,,,,1,,,,66,1,5,1,38.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
160104129002,1601041290,1601041,1,,1,2,,,,1,,,,63,2,5,1,39.0,1,1,2,2,2,2,3,3,3,3,3,3,3,4,3,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,2,1,1,0,0,0,0,0,6,1,2,,20200914
160104115001,1601041150,1601041,1,,2,2,,,,1,,,,49,1,6,2,,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,3,3,3,5,3,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
160104125001,1601041250,1601041,1,,9,2,,,,1,,,,43,2,8,9,18.0,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,2,20200914
160104126001,1601041260,1601041,1,,2,2,,,,1,,,,22,1,6,3,22.0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104132001,1601041320,1601041,1,,1,2,,,,1,,,,66,2,5,1,45.0,1,1,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3,3,3,3,1,1,1,2,2,2,2,1,2,0,0,0,0,0,6,1,2,,20200914
160104132002,1601041320,1601041,1,,1,2,,,,1,,,,66,1,5,1,45.0,1,1,2,2,2,2,3,3,3,5,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104103002,1601041030,1601041,1,,2,1,3,2,,1,,,,39,1,7,2,,1,1,2,2,2,2,3,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3,3,3,4,3,4,3,3,1,1,1,1,1,2,1,1,1,0,0,0,0,0,6,2,2,,20200914
160104113002,1601041130,1601041,1,,9,2,,,,1,,,,43,2,8,9,18.0,5,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,2,20200914
160104228001,1601042280,1601042,1,,1,1,2,1,3,1,,,,69,2,4,1,45.0,1,1,2,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6,1,2,,20200914
160104228002,1601042280,1601042,1,,1,1,2,2,,1,,,,68,1,5,1,46.0,1,1,2,2,2,2,3,3,4,4,4,4,3,3,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,3,1,1,1,1,1,2,2,1,1,0,0,0,0,0,6,1,2,,20200914
