target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2013,literature_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.41603644872663315,0.6229093346740406,0.03507310398165692,0.04277286135693215,0.6444444444444445,0.02212051868802441,0.5165912518853696,0.48340874811463047,0.35555555555555557,1370,1282,16,29,0.4860956618464961,0.5139043381535039
heart_related_event_by_2013,literature_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.38518279790878296,0.6557734204793028,0.03498451502372848,0.04404567699836868,0.6,0.02286198137171888,0.5648567119155354,0.43514328808446456,0.4,1498,1154,18,27,0.4378939562476826,0.5621060437523173
heart_related_event_by_2013,literature_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.32052395537630934,0.6455840455840456,0.038448614629317666,0.045296167247386755,0.5777777777777777,0.02357207615593835,0.5938914027149321,0.4061085972850679,0.4222222222222222,1575,1077,19,26,0.40897293288839454,0.5910270671116055
heart_related_event_by_2013,literature_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4299138701091761,0.6330107256577845,0.05728885219008002,0.041379310344827586,0.6666666666666666,0.021352313167259787,0.4815233785822021,0.5184766214177979,0.3333333333333333,1277,1375,15,30,0.5209492028179459,0.4790507971820541
heart_related_event_by_2013,broad_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5116124231095169,0.6048642533936652,0.03833521238488763,0.05307599517490953,0.4888888888888889,0.02806122448979592,0.7126696832579186,0.2873303167420814,0.5111111111111111,1890,762,23,22,0.2906933629959214,0.7093066370040786
heart_related_event_by_2013,broad_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.42929284218662256,0.6027316909669851,0.028234855923144328,0.047483380816714146,0.5555555555555556,0.0248015873015873,0.6293363499245852,0.3706636500754148,0.4444444444444444,1669,983,20,25,0.37374860956618466,0.6262513904338154
heart_related_event_by_2013,broad_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.48869118094444275,0.6177350427350428,0.0358363487389838,0.04377564979480165,0.7111111111111111,0.022582921665490474,0.4777526395173454,0.5222473604826546,0.28888888888888886,1267,1385,13,32,0.5253985910270671,0.4746014089729329
heart_related_event_by_2013,broad_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.2781983899605769,0.6238394503100385,0.03993374576996335,0.046511627906976744,0.7333333333333333,0.024017467248908297,0.49434389140271495,0.505656108597285,0.26666666666666666,1311,1341,12,33,0.5094549499443827,0.4905450500556173
heart_related_event_by_2013,broad_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.41770343633855145,0.6080442433383609,0.07543112404552305,0.03918613413715147,0.5777777777777777,0.0202808112324493,0.526395173453997,0.473604826546003,0.4222222222222222,1396,1256,19,26,0.4753429736744531,0.5246570263255469
heart_related_event_by_2015,primary,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.453042870028902,0.6487950832928999,0.08444690768339921,0.13023952095808383,0.6444444444444445,0.07243963363863447,0.5946142649199417,0.4053857350800582,0.35555555555555557,1634,1114,48,87,0.4165799514394728,0.5834200485605272
heart_related_event_by_2015,primary,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.25688182422064343,0.6238126044530703,0.08310228045502654,0.10834715312327252,0.725925925925926,0.05854241338112306,0.4264919941775837,0.5735080058224163,0.2740740740740741,1172,1576,37,98,0.5806451612903226,0.4193548387096774
heart_related_event_by_2015,primary,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.6444408297538757,0.6218448433877837,0.07271614574784047,0.12481857764876633,0.31851851851851853,0.0776173285198556,0.8140465793304221,0.18595342066957787,0.6814814814814815,2237,511,92,43,0.19216094346167187,0.8078390565383281
heart_related_event_by_2015,primary,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.37444029868154854,0.6364655776591731,0.07833763086917056,0.13703703703703704,0.5481481481481482,0.07830687830687831,0.6830422125181951,0.316957787481805,0.45185185185185184,1877,871,61,74,0.32778355879292403,0.6722164412070759
heart_related_event_by_2015,primary,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3057163764660469,0.6432233543587256,0.08282279586388111,0.10419681620839363,0.8,0.05572755417956656,0.33406113537117904,0.665938864628821,0.2,918,1830,27,108,0.6722164412070759,0.3277835587929241
heart_related_event_by_2015,no_body_size_demographic,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.49856129300192464,0.6379670063076176,0.07817202197199706,0.12807017543859647,0.5407407407407407,0.07263681592039802,0.660844250363901,0.33915574963609896,0.45925925925925926,1816,932,62,73,0.3485952133194589,0.651404786680541
heart_related_event_by_2015,no_body_size_demographic,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4477857731632457,0.6326163135479002,0.07833469655112094,0.12076974120769743,0.674074074074074,0.0663265306122449,0.5338427947598253,0.4661572052401747,0.32592592592592595,1467,1281,44,91,0.47589316684009714,0.5241068331599028
heart_related_event_by_2015,no_body_size_demographic,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5761496424674988,0.6280015095153377,0.07301173550369569,0.1266025641025641,0.5851851851851851,0.07097933513027853,0.62372634643377,0.37627365356623,0.4148148148148148,1714,1034,56,79,0.38605619146722164,0.6139438085327784
heart_related_event_by_2015,no_body_size_demographic,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.36991451188996954,0.6343670817833846,0.07834048881603184,0.12658227848101264,0.5185185185185185,0.07209062821833162,0.6721251819505094,0.32787481804949054,0.48148148148148145,1847,901,65,70,0.33680194242108913,0.6631980575789109
heart_related_event_by_2015,no_body_size_demographic,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.445336508470863,0.6381287400938056,0.07842700154871982,0.11959287531806614,0.6962962962962963,0.06541405706332637,0.5112809315866085,0.4887190684133916,0.3037037037037037,1405,1343,41,94,0.4984391259105099,0.5015608740894901
heart_related_event_by_2015,literature_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.46986713518731943,0.6276632163458947,0.08569743446822672,0.11576011157601114,0.6148148148148148,0.06389530408006158,0.5574963609898108,0.44250363901018924,0.3851851851851852,1532,1216,52,83,0.4505723204994797,0.5494276795005203
