target_column,feature_set,model,status,message,threshold,roc_auc,pr_auc,f1,recall,precision,specificity,fpr,fnr,tn,fp,fn,tp,predicted_positive_rate,predicted_negative_rate
heart_related_event_by_2013,literature_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4973054237337829,0.6294913691972516,0.0404854190934513,0.0525762355415352,0.5555555555555556,0.0275938189845474,0.6677978883861236,0.3322021116138763,0.4444444444444444,1771,881,20,25,0.3359288097886541,0.6640711902113459
heart_related_event_by_2013,literature_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4160364487266331,0.6229093346740406,0.0350731039816569,0.0427728613569321,0.6444444444444445,0.0221205186880244,0.5165912518853696,0.4834087481146304,0.3555555555555555,1370,1282,16,29,0.4860956618464961,0.5139043381535039
heart_related_event_by_2013,literature_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3851827979087829,0.6557734204793028,0.0349845150237284,0.0440456769983686,0.6,0.0228619813717188,0.5648567119155354,0.4351432880844645,0.4,1498,1154,18,27,0.4378939562476826,0.5621060437523173
heart_related_event_by_2013,literature_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.3205239553763093,0.6455840455840456,0.0384486146293176,0.0452961672473867,0.5777777777777777,0.0235720761559383,0.5938914027149321,0.4061085972850679,0.4222222222222222,1575,1077,19,26,0.4089729328883945,0.5910270671116055
heart_related_event_by_2013,literature_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4299138701091761,0.6330107256577845,0.05728885219008,0.0413793103448275,0.6666666666666666,0.0213523131672597,0.4815233785822021,0.5184766214177979,0.3333333333333333,1277,1375,15,30,0.5209492028179459,0.4790507971820541
heart_related_event_by_2013,broad_fi_minimal,logistic_regression,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.5116124231095169,0.6048642533936652,0.0383352123848876,0.0530759951749095,0.4888888888888889,0.0280612244897959,0.7126696832579186,0.2873303167420814,0.5111111111111111,1890,762,23,22,0.2906933629959214,0.7093066370040786
heart_related_event_by_2013,broad_fi_minimal,random_forest,warning,ROC-AUC 低于 0.70，区分度偏弱。,0.4292928421866225,0.6027316909669851,0.0282348559231443,0.0474833808167141,0.5555555555555556,0.0248015873015873,0.6293363499245852,0.3706636500754148,0.4444444444444444,1669,983,20,25,0.3737486095661846,0.6262513904338154
heart_related_event_by_2013,broad_fi_minimal,xgboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4886911809444427,0.6177350427350428,0.0358363487389838,0.0437756497948016,0.7111111111111111,0.0225829216654904,0.4777526395173454,0.5222473604826546,0.2888888888888888,1267,1385,13,32,0.5253985910270671,0.4746014089729329
heart_related_event_by_2013,broad_fi_minimal,lightgbm,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.2781983899605769,0.6238394503100385,0.0399337457699633,0.0465116279069767,0.7333333333333333,0.0240174672489082,0.4943438914027149,0.505656108597285,0.2666666666666666,1311,1341,12,33,0.5094549499443827,0.4905450500556173
heart_related_event_by_2013,broad_fi_minimal,catboost,warning,ROC-AUC 低于 0.70，区分度偏弱；FPR 高于 0.40，误报偏多。,0.4177034363385514,0.6080442433383609,0.075431124045523,0.0391861341371514,0.5777777777777777,0.0202808112324493,0.526395173453997,0.473604826546003,0.4222222222222222,1396,1256,19,26,0.4753429736744531,0.5246570263255469
